v8-version,7,1,302,31,0
code-creation,Builtin,3,4000,0x7ff6df592040,523,ArraySingleArgumentConstructor_HoleySmi_DontOverride
code-creation,Builtin,3,4000,0x7ff6df592260,487,ArraySingleArgumentConstructor_PackedSmi_DisableAllocationSites
code-creation,Builtin,3,4000,0x7ff6df592460,447,ArraySingleArgumentConstructor_HoleySmi_DisableAllocationSites
code-creation,Builtin,3,4000,0x7ff6df592620,487,ArraySingleArgumentConstructor_Packed_DisableAllocationSites
code-creation,Builtin,3,4000,0x7ff6df592820,447,ArraySingleArgumentConstructor_Holey_DisableAllocationSites
code-creation,Builtin,3,4000,0x7ff6df5929e0,495,ArraySingleArgumentConstructor_PackedDouble_DisableAllocationSites
code-creation,Builtin,3,4000,0x7ff6df592be0,455,ArraySingleArgumentConstructor_HoleyDouble_DisableAllocationSites
code-creation,Builtin,3,4000,0x7ff6df592dc0,68,ArrayNArgumentsConstructor
code-creation,Builtin,3,4000,0x7ff6df592e20,5,InternalArrayConstructor
code-creation,Builtin,3,4000,0x7ff6df592e40,118,InternalArrayConstructorImpl
code-creation,Builtin,3,4000,0x7ff6df592ec0,191,InternalArrayNoArgumentConstructor_Packed
code-creation,Builtin,3,4000,0x7ff6df592f80,191,InternalArrayNoArgumentConstructor_Holey
code-creation,Builtin,3,4000,0x7ff6df593040,491,InternalArraySingleArgumentConstructor_Packed
code-creation,Builtin,3,4000,0x7ff6df593240,451,InternalArraySingleArgumentConstructor_Holey
code-creation,Builtin,3,4000,0x7ff6df593420,12,ArrayConcat
code-creation,Builtin,3,4000,0x7ff6df593440,150,ArrayIsArray
code-creation,Builtin,3,4000,0x7ff6df5934e0,12,ArrayPrototypeFill
code-creation,Builtin,3,4000,0x7ff6df593500,3212,ArrayFrom
code-creation,Builtin,3,4000,0x7ff6df5941a0,992,ArrayOf
code-creation,Builtin,3,4000,0x7ff6df5945a0,952,ArrayIncludesSmiOrObject
code-creation,Builtin,3,4000,0x7ff6df594960,120,ArrayIncludesPackedDoubles
code-creation,Builtin,3,4000,0x7ff6df5949e0,176,ArrayIncludesHoleyDoubles
code-creation,Builtin,3,4000,0x7ff6df594aa0,631,ArrayIncludes
code-creation,Builtin,3,4000,0x7ff6df594d20,872,ArrayIndexOfSmiOrObject
code-creation,Builtin,3,4000,0x7ff6df5950a0,104,ArrayIndexOfPackedDoubles
code-creation,Builtin,3,4000,0x7ff6df595120,104,ArrayIndexOfHoleyDoubles
